,character,quote,episode
0,PICARD ,   Captain's Log: Stardate 46357.4   We have rendezvoused with the   starship Cairo near the Cardassian   border for an urgent meeting with   Vice-Admiral Nechayev.,"""Chain of Command, Part I"""
1,PICARD,   Come.,"""Chain of Command, Part I"""
2,RIKER,"       Admiral, may I present Captain   Picard.","""Chain of Command, Part I"""
3,PICARD,"   Welcome aboard, Admiral.","""Chain of Command, Part I"""
4,NECHAYEV,"   Thank you.       That will be all, Commander.","""Chain of Command, Part I"""
5,PICARD,       May I offer you some tea or --,"""Chain of Command, Part I"""
6,NECHAYEV,"   Thank you no, Captain. I'm afraid   there's no time for the usual   pleasantries.       I'm here to relieve you of command   of the Enterprise.","""Chain of Command, Part I"""
7,NECHAYEV,"   The Cardassian forces which were   recently withdrawn from the   Bajoran sector, have been   redeployed along the Federation   border. They've mobilized three   divisions of ground troops... and   their subspace communications have   increased by fifty percent. We   believe they're preparing for an   incursion into Federation space.","""Chain of Command, Part I"""
8,RIKER,   Are the Cardassians really ready   for war?,"""Chain of Command, Part I"""
9,NECHAYEV,"   I didn't say war, Commander. I   said incursion. Our intelligence   reports suggest they'll try to   seize one of the disputed systems   along the border. We think   they're gambling that the   Federation won't actually go to   war over one system.","""Chain of Command, Part I"""
10,TROI,   Will we?,"""Chain of Command, Part I"""
11,NECHAYEV,   I hope we won't need to make that   decision.     ,"""Chain of Command, Part I"""
12,,,"""Chain of Command, Part I"""
13,NECHAYEV ,       We've decided to send the   Enterprise to meet with a   Cardassian representative and open   talks. We're hoping that the   presence of the Federation   flagship on the border will send   a message to their leadership   about how seriously we view this   situation.,"""Chain of Command, Part I"""
14,RIKER,   Where is Captain Picard?,"""Chain of Command, Part I"""
15,NECHAYEV,"   The Captain, your Chief Medical   Officer, and Security Chief have   been... reassigned.    (quickly shutting down     questions)   That's all I can tell you for now.","""Chain of Command, Part I"""
16,NECHAYEV,   Do any of you know Edward Jellico?,"""Chain of Command, Part I"""
17,DATA,   He is the commanding officer of   the Cairo.,"""Chain of Command, Part I"""
18,RIKER,   I've heard of him. But I don't   think any of us have ever --,"""Chain of Command, Part I"""
19,NECHAYEV,   I'm giving him command of the   Enterprise this afternoon.,"""Chain of Command, Part I"""
20,NECHAYEV,   Captain Jellico helped to   negotiate the original armistice   two years ago and I believe he is   the most qualified person to lead   this mission.,"""Chain of Command, Part I"""
21,NECHAYEV,   The change of command will take   place at thirteen hundred hours.   Thank you.,"""Chain of Command, Part I"""
22,RIKER,   Admiral...,"""Chain of Command, Part I"""
23,RIKER,   With all due respect... it isn't   necessary to give Captain Jellico   command of the Enterprise in order   to conduct a negotiation.,"""Chain of Command, Part I"""
24,NECHAYEV,"       I disagree. The Enterprise will   be in a dangerous situation and I   want someone on the Bridge who has   a great deal of experience with   the Cardassians. No offense   Commander, but that's not you.","""Chain of Command, Part I"""
25,PICARD,       Freeze program.,"""Chain of Command, Part I"""
26,PICARD,   You were at least five seconds   slower this time.,"""Chain of Command, Part I"""
27,WORF,"   You increased the difficulty   level, sir.","""Chain of Command, Part I"""
28,PICARD,   It'll be a lot more difficult   where we're going.,"""Chain of Command, Part I"""
29,BEVERLY,"   Which is where, exactly?","""Chain of Command, Part I"""
30,PICARD,"   I'm sorry, but I can't tell you   that yet.","""Chain of Command, Part I"""
31,WORF,   Captain... it would be helpful to   know something about our mission.,"""Chain of Command, Part I"""
32,PICARD,   Mister Worf... I have my orders.   I'm sure you understand.,"""Chain of Command, Part I"""
33,PICARD,       Now... this deflector isn't set   properly. You have to position   the emitter array so that it   blocks the entire passageway or   it's useless.,"""Chain of Command, Part I"""
34,BEVERLY,   Sorry. I guess I was paying too   much attention to getting away   from that last Cardassian. Or   maybe it was the phaser blasts...   or the falling rocks...,"""Chain of Command, Part I"""
35,PICARD,"   I know this is difficult. But for   now, all I can do is ask you to   trust me.","""Chain of Command, Part I"""
36,BEVERLY,   All right. Let's do it again.,"""Chain of Command, Part I"""
37,PICARD,"   Mister Worf, time Doctor Crusher   and me through the first tunnel.       We'll pick up those five seconds   this time.","""Chain of Command, Part I"""
38,RIKER,"   Welcome aboard the Enterprise,   sir. I'm Commander --","""Chain of Command, Part I"""
39,JELLICO,"   William T. Riker. Class of 'fifty-seven,   graduated eighth in the   class. I'm looking forward to   serving with you, Commander.","""Chain of Command, Part I"""
40,RIKER,"       Thank you, sir. So am I.","""Chain of Command, Part I"""
41,JELLICO,   I'm sure this change in command   has taken everyone a little by   surprise.,"""Chain of Command, Part I"""
42,RIKER,"   Well... yes, sir.","""Chain of Command, Part I"""
43,JELLICO,"   It caught me by surprise too. I   must admit, I miss the Cairo   already. But a Galaxy-class   ship... that's something special.   I can understand why you've turned   down a ship of your own to remain   aboard.","""Chain of Command, Part I"""
44,RIKER,"   Yes, sir.","""Chain of Command, Part I"""
45,JELLICO,   How many duty watches does the   crew stand?,"""Chain of Command, Part I"""
46,RIKER,   We're on a standard three shift   rotation.,"""Chain of Command, Part I"""
47,JELLICO,   I'd like to change that to four   starting tonight. I'd also like   to examine your duty roster and   crew evaluations as soon as   possible. I want readiness   reports from each department head   by fourteen hundred hours and a   meeting of the senior staff at   fifteen hundred. Do you prefer   Wil or William?,"""Chain of Command, Part I"""
48,RIKER,"   Uh... Wil, sir.","""Chain of Command, Part I"""
49,JELLICO,"   Where are my quarters, Wil?","""Chain of Command, Part I"""
50,RIKER,   We've assigned you to cabin seven   three five. That's up on deck --,"""Chain of Command, Part I"""
51,JELLICO,       Deck seven.       I'll see you at thirteen hundred   hours.,"""Chain of Command, Part I"""
52,RIKER,       Attention to orders.,"""Chain of Command, Part I"""
53,PICARD,"       To Captain Jean-Luc Picard,   Commanding Officer, USS   Enterprise. Stardate 46358. You   are hereby requested and required   to relinquish command of your   vessel to Captain Edward Jellico,   Commanding Officer, USS Cairo as   of this date. Signed, Vice-Admiral   Alynna Nechayev, Starfleet   Command.","""Chain of Command, Part I"""
54,PICARD,"       Computer, transfer all command   codes to Captain Edward Jellico.   Voice authorization: Picard-delta-five.","""Chain of Command, Part I"""
55,COMPUTER,   Transfer complete. USS Enterprise   now under command of Captain   Edward Jellico.,"""Chain of Command, Part I"""
56,JELLICO,"       I relieve you, sir.","""Chain of Command, Part I"""
57,PICARD,   I stand relieved.,"""Chain of Command, Part I"""
58,JELLICO,       Dismissed.,"""Chain of Command, Part I"""
59,GEORDI,       I wonder how permanent this is   going to be.,"""Chain of Command, Part I"""
60,RIKER,   I don't know... but they don't   usually go through the ceremony if   it's just a temporary assignment.,"""Chain of Command, Part I"""
61,TROI,   Sore?,"""Chain of Command, Part I"""
62,BEVERLY,   Sore doesn't begin to describe it.,"""Chain of Command, Part I"""
63,BEVERLY,   I know. I wish I could talk about   it.,"""Chain of Command, Part I"""
64,PICARD,   Most of the secondary systems were   replaced during our last overhaul.     ,"""Chain of Command, Part I"""
65,,,"""Chain of Command, Part I"""
66,PICARD ,   I don't think they'll give you any   problems. But you might want to   check on the port lateral --,"""Chain of Command, Part I"""
67,JELLICO,"   I'll take care of the Enterprise,   Jean-Luc. You don't have to   mother me.","""Chain of Command, Part I"""
68,JELLICO,   How's your team shaping up?,"""Chain of Command, Part I"""
69,PICARD,       It's going well. But I would   prefer more current intelligence   on the exact lay-out of the   installation. The most recent   information is over two years old.,"""Chain of Command, Part I"""
70,JELLICO,       Two years... I don't know how   Nechayev ever talked you into   this.,"""Chain of Command, Part I"""
71,PICARD,       She didn't give me a choice.,"""Chain of Command, Part I"""
72,JELLICO,"       Well, maybe there's something we   can do to help you. We'll launch   a class five probe just before we   reach the border. You could pick   up the telemetry aboard the   shuttle.","""Chain of Command, Part I"""
73,PICARD,   That would be extremely helpful.,"""Chain of Command, Part I"""
74,JELLICO,   Wil...,"""Chain of Command, Part I"""
75,RIKER,       Captain... Captain...,"""Chain of Command, Part I"""
76,JELLICO,   I believe we'll be arriving at the   Cardassian border during delta   shift. Please inform the delta   tactical officer that I want to   launch a class five probe just   before we drop out of warp.,"""Chain of Command, Part I"""
77,RIKER,"   I actually wanted to talk to you   about delta a little later, sir.   Right now, gamma shift is still   slated to be on duty when we   arrive and I'll be sure to tell   Lieutenant McDowell about the   probe.","""Chain of Command, Part I"""
78,JELLICO,"   Is there a problem with delta   shift, Wil?","""Chain of Command, Part I"""
79,RIKER,"   Well, there is no delta shift yet,   sir. I spoke to the department   heads about changing from three to   four shifts, and it's going to   create some significant personnel   problems for us.","""Chain of Command, Part I"""
80,JELLICO,   So you have not changed the watch   rotation.,"""Chain of Command, Part I"""
81,RIKER,"   No, sir. I wanted to talk to you   about this when we had a chance so   that --","""Chain of Command, Part I"""
82,JELLICO,"       You will tell the department heads   that as of now, the Enterprise is   on a four shift rotation. I don't   want to talk about it. Get it   done.","""Chain of Command, Part I"""
83,JELLICO,   Now that means delta shift will be   due to come on duty in two hours.   I expect you to have it fully   manned and ready when it does. Is   that clear?,"""Chain of Command, Part I"""
84,RIKER,"   Yes, sir.       If you'll excuse me, sir.       Captain.","""Chain of Command, Part I"""
85,JELLICO,   He was your first officer for five   years...,"""Chain of Command, Part I"""
86,PICARD,   And one of the finest officers   I've ever served with.,"""Chain of Command, Part I"""
87,JELLICO,"   Of course he is, Jean-Luc. I'm   sure he'll be fine.","""Chain of Command, Part I"""
88,JELLICO ,"   Captain's Log: Stardate 46358.2   The Enterprise is on course for a   rendezvous with the Cardassian   ship Reklar. Fortunately, I still   have time to prepare the ship and   crew for the task ahead.","""Chain of Command, Part I"""
89,JELLICO,       I want you to install a bypass   between the main phaser array and   the secondary generators.    (taps something on     panel)   I also want to run the main   deflector pathway through the warp   power grid and the auxiliary   conduits through the lateral   relays. You may have to   reconfigure the transfer   interface.,"""Chain of Command, Part I"""
90,DATA,   The transfer interface is not   designed for that configuration.   It will take seven hours to make   the changes.,"""Chain of Command, Part I"""
91,RIKER,   Sir... you may not be aware that   our normal interface already   routes auxiliary power through   three separate relays.,"""Chain of Command, Part I"""
92,JELLICO,"       I'm aware of your current systems   design. It's not good enough. If   these negotiations fail, we could   find ourselves in a war zone. If   that happens I want to be loaded   for bear.","""Chain of Command, Part I"""
93,RIKER,"   I'll get right on it, sir.","""Chain of Command, Part I"""
94,JELLICO,       Good.,"""Chain of Command, Part I"""
95,JELLICO,   These stations should be devoted   to damage-control and weapons   status from now on. See that   they're manned on every shift.,"""Chain of Command, Part I"""
96,RIKER,"   Aye, sir.","""Chain of Command, Part I"""
97,JELLICO,"   Mister Data, how long until we   reach the rendezvous point?","""Chain of Command, Part I"""
