,character,quote,scene,location,view,episode,date,series,file
0,QUARK,"       The usual, Odo?",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
1,ODO,   Nothing.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
2,QUARK,       The usual.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
3,QUARK,"       If all my customers were like you,    my family would be begging on the    Promenade.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
4,ODO,"   Oh, I seriously doubt that.  Not as    long as there's a Miradorn raider    for you to do business with.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
5,QUARK,   Raider?       You mean the Miradorn ship that just    docked?,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
6,ODO,   The raider.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
7,QUARK,"   It's reputation, like mine, has    probably been exaggerated.       Anyway, I don't know the ship or its    crew.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
8,ODO,   You didn't make your usual welcome    call inviting them in for a free    drink?,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
9,QUARK,   Miradorns are a quarrelsome people.     I chose to forego the usual amenities.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
10,ODO,   He looks away whenever I make eye    contact.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
11,QUARK,       Who?,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
12,ODO,   The new arrival.  The one the Klingons    brought back from the Gamma Quadrant.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
13,QUARK,   Croden?  He's harmless.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
14,ODO,   Really.  How is it you've come to    know him so well... ?,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
15,QUARK,   A man comes in for a drink... he    wants to talk...,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
16,ODO,   He didn't seem to want to talk much    to Sisko when he arrived...,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
17,QUARK,   Who would?  All those Starfleet    officers greeting him at the airlock.     It would scare me too.  The Federation    could learn a few things from the    Ferengi about hospitality.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
18,ODO,"   They scared him, huh... ?",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
19,QUARK,   ... of course...,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
20,ODO,   ... I wonder what he has to be scared    about...,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
21,ODO,   Well now!  I believe a pair of twinned    Miradorns just nodded your way.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
22,QUARK,"   I'm the man behind the bar.     Obviously, they want to use a    holosuite.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
23,QUARK,"       You think the whole galaxy is plotting    around you, don'tcha... paranoia    must run in your species, Odo...    maybe that's why no one's ever seen    another shape-shifter... they're all    hiding.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
24,QUARK,"   Well, I won't have you coming here    harassing my customers... order a    drink, play the tables or vacate the    premises.",2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
25,QUARK,   Rom -- bring a flask of my special    langour.,2    INT. QUARK'S,QUARK'S,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
26,RO-KEL ,   One-thousand bars of gold press    latinum.,9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
27,AH-KEL ,   Non-negotiable.,9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
28,QUARK,   Very nice.,9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
29,QUARK,"   Unfortunately, there's a problem.",9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
30,RO-KEL,   Problem?,9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
31,ROM,"   Langour, anyone?",9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
32,AH-KEL,   What problem?,9    INT. HOLOSUITE - CONTINUOUS,HOLOSUITE,INT.,Vortex,1993-01-12,Deep Space Nine,412.txt
