,character,quote,scene,location,view,episode,date,series,file
0,GARAK,"   Tarkalean tea again, Doctor?",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
1,BASHIR,"   Yes, and I believe you're drinking    Rokassa juice, aren't you, Garak --",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
2,GARAK,   How did you know?,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
3,BASHIR,   The odor is unmistakable.,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
4,GARAK,"       So it is.  Rokassa juice soothes my    nerves.  I had a very demanding    customer today.  A Bajoran engineer    who comes into the shop constantly,    just to plague me...",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
5,BASHIR,   I've always wondered about that...    about who your steady customers are...    I can't imagine Bajorans frequenting    a shop run by a Cardassian...,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
6,GARAK,   I like to think my expertise and    willingness to serve overcome any    general resentment my clientele may    have.,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
7,BASHIR,   Ahhh.  Perhaps your expertise and    willingness to serve go so far as to    establish a certain... trust...    between you and your customers...,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
8,GARAK,   Trust is very important...,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
9,BASHIR,"   And once they trust you, they're    much more open with you... they...    tell you things...",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
10,GARAK,"       Really, Doctor... must we play this    game so often?  I'm no more a ""spy""    than you are a... a...",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
11,BASHIR,   ...Doctor.,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
12,GARAK,   I'm afraid you really do let your    imagination run away with you.  What    else can I say to convince you that    I'm just --,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
13,BASHIR,    (finishing Garak's     sentence)   -- plain and simple Garak?,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
14,GARAK,       Precisely.,1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
15,GARAK,"   Now, there's something you don't see    every day...",1    INT. REPLIMAT,REPLIMAT,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
16,ZOLAN,"   There's a table.  Please, sit down    and I'll get all of us some    refreshment.",2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
17,BASHIR,   That was odd... do you know him?,2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
18,GARAK,   On the contrary... I've never set    eyes on him before.,2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
19,GARAK,"   I hope I'm not intruding, but I    couldn't help noticing...",2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
20,GARAK,       ... what a handsome young man you    have here...,2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
21,BASHIR,       Stop it -- stop it!,2    INT. PROMENADE - AIRLOCK - GARAK'S POV,PROMENADE,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
22,BASHIR,   Sorry I'm late --,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
23,BASHIR,       The damnedest thing just happened...    Garak the tailor was attacked...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
24,ODO,       Attacked where?,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
25,BASHIR,   At the Replimat.  He was bitten on    the hand...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
26,DAX,       Another unsatisfied customer?,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
27,O'BRIEN,   He always cuts the pants too long...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
28,BASHIR,"   No, it was a boy... a Cardassian    boy...",16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
29,SISKO,   I wasn't aware we had any Cardassian    children on the station...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
30,ODO,   We don't...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
31,BASHIR,   He just arrived.  On the Bajoran    transport.  With an adult Bajoran    who says he's his father...,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
32,KIRA,"   The boy was probably one of the    orphans left behind after the    Cardassians pulled out...    (she's reading     something on her     console, as she     presses panels... )   We had no choice but to take care of    them...       You have an incoming subspace    transmission... from Cardassia,    Commander...    (reading, looking up     to Sisko)   It's Gul Dukat.",16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
33,SISKO,   In my office.,16   INT. OPS - ON THE TURBOLIFT RISING,OPS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
34,GUL DUKAT,   Commander... it's been brought to my    attention that the sole Cardassian    living on your station has been    assaulted...,17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
35,SISKO,"       I'm surprised how quickly the news    reached you, Dukat.  I only heard    about it myself a minute ago...",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
36,GUL DUKAT,   Is it true he was -- attacked -- by    a Cardassian boy brought to the    station by a Bajoran?,17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
37,SISKO,"   A Cardassian boy appears to have    been involved, yes.",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
38,GUL DUKAT,       It is exactly as I feared.     Exactly as I've been warning my    colleagues...,17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
39,SISKO,   Warning them?,17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
40,GUL DUKAT,"   The Cardassian war orphans,    Commander... abandoned when we left    Bajor... it's a disgrace.  Obviously,    these children are being raised to    hate their own kind... this incident    is the proof...",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
41,SISKO,   You're assuming an awful lot from    this one incident...,17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
42,GUL DUKAT,"   Am I?  Then why would this boy assault    poor Garak?  An amiable fellow, if    there ever was one...",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
43,SISKO,"   If you'd like, I'll try to find out.",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
44,GUL DUKAT,"   That would be most appreciated.  I    need to know more about this boy,    Commander... so I can use his story    as ammunition in my fight to bring    these orphans back to their    homeland...       This is a tragedy all of us on    Cardassia must address...",17   INT. COMMANDER'S OFFICE - CONTINUOUS (OPTICAL),COMMANDER'S OFFICE - CONTINUOUS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
45,PROKA,   We didn't come here to cause    trouble...,18   INT. GUEST QUARTERS - CLOSE ON,GUEST QUARTERS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
46,PROKA,       Has this Garak filed a complaint?,18   INT. GUEST QUARTERS - CLOSE ON,GUEST QUARTERS,INT.,Cardassians,1993-08-16,Deep Space Nine,425.txt
