,character,quote,scene,location,view,episode,date,series
0,,   Late at night.  Both levels are    completely deserted and the lights    are low.  There's an eerie quality    to the play of light and shadows on    the Promenade floor.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
1,BAREIL,   Nerys?,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
2,KIRA,       Vedek Bareil.  Want to play?,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
3,BAREIL,       Help me.  ,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
4,BAREIL,   Please.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
5,KIRA,   All right.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
6,KIRA,   Who is it?,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
7,BAREIL,   It's Prylar Bek.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
8,KIRA,   No it's not.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
9,KIRA,       It's you.,1    INT. PROMENADE - FIRST FLOOR (ORB SEQUENCE),PROMENADE - FIRST FLOOR,INT.,,1994-03-21,Deep Space Nine
10,BAREIL,   I thought you'd sleep until noon.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
11,KIRA,   Shh.  You're supposed to be relaxing.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
12,BAREIL,"   Oh, I'm... very relaxed.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
13,KIRA,   Good.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
14,BAREIL,   And how are you feeling this morning?,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
15,KIRA,       Miserable.  I wish you could stay    here longer.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
16,BAREIL,"       All right, I will.  I'll stay a few    more days.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
17,KIRA,   You know you can't do that.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
18,BAREIL,   Why not?,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
19,KIRA,"       Because in two days, you're going to    be elected Kai.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
20,BAREIL,"       Oh, that.  You know there's no    guarantee that I'm going to win.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
21,KIRA,   Of course you're going to win.  The    people need you.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
22,BAREIL,   Are you going to vote for me?,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
23,KIRA,   Is that why you spent the past three    days here?  To get my vote?,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
24,BAREIL,"   Well, I know you don't agree with    many of my views.  So I thought a    personal appearance might sway your    opinion.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
25,KIRA,       I was going to vote for Vedek    Tolena...,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
26,KIRA,       But I suppose I might be persuaded    to change my mind.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
27,BAREIL,   Good.       Because your vote is the only one    that matters to me.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
28,KIRA,"   I may not always agree with your    interpretations of the prophecies,    but I think you'll make a wonderful    Kai.  Besides, everyone knows you    were Kai Opaka's personal choice to    succeed her.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
29,BAREIL,       I could never replace Opaka.  Bajor    wouldn't have survived the occupation    without her.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
30,KIRA,"   Once you become Kai, we'll never    have these times together.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
31,BAREIL,"   Listen to me, Nerys... No matter how    busy I become... I'll always have    time for you.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
32,KIRA,   It won't be easy...,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
33,BAREIL,"   I didn't say it would be.  But I'm    not going to lose you, Nerys.  I    promise you that.",14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
34,KIRA,   I have to report for duty in less    than an hour.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
35,BAREIL,   My ship leaves even sooner.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
36,KIRA,   That doesn't leave us much time.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
37,BAREIL,   The Prophets say that time is an    illusion.  That a minute can last an    eternity if you let it.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
38,KIRA,   Do you really believe that?,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
39,BAREIL,   I'm willing to give it a try.,14   INT. KIRA'S QUARTERS - CLOSE ON BAREIL,KIRA'S QUARTERS,INT.,,1994-03-21,Deep Space Nine
40,WINN,"    (to the children;     benevolently)   I can't tell you how much it pleases    me to see such beautiful, happy    children... Remember now, honor the    Prophets and they will always love    you.",19   INT. PROMENADE - OUTSIDE BAJORAN SHRINE,PROMENADE,INT.,,1994-03-21,Deep Space Nine
