,character,quote,scene,location,view,episode,date,series
0,RIKER ,"   Ship's log, First Officer Riker   reporting. Stardate 41997.7 We   are about to make a brief but   necessary contact with the Jarada,   a reclusive race known for its   idiosyncratic attitude towards   protocol... The Federation has been   trying unsuccessfully to establish   a relationship, and now the task   falls to Captain Picard.",1    EXT. SPACE - ENTERPRISE (OPTICAL),SPACE - ENTERPRISE,EXT.,"""The Big Good-bye""",1987-10-14,The Next Generation
1,RIKER ,"       ... In two days we will reach the   area of their planet, known as   Torona Four. The Jarada demand   a precise greeting. Their   language is most unusual...",2    INT. MAIN BRIDGE - WIDE ANGLE,MAIN BRIDGE,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
2,RIKER ,       ... The slightest mispronunciation   is regarded as an insult.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
3,TROI,"   The double bars indicate an   elongated ""s"" sound --",3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
4,PICARD,"       -- And the inverted ""T"" means to   hold the ""zee.""",3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
5,TROI,   Unless... ?,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
6,PICARD,"   Unless it's followed by three wavy   lines; in which case the ""zee""   becomes a ""bee.""",3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
7,TROI,   Exactly.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
8,PICARD,   What a language.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
9,TROI,   It is an insect mind.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
10,PICARD,       My mind's barely working.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
11,TROI,"   Take a break, sir.",3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
12,PICARD,       No. I want to go over it again.,3    INT. CAPTAIN'S READY ROOM - MOVING IN ON PICARD,CAPTAIN'S READY ROOM,INT.,"""The Big Good-bye""",1987-10-14,The Next Generation
