,character,quote,scene,location,view,episode,date,series,file
0,PICARD ,"   Captain's log, stardate 44995.3.   We are en route to the Klingon   Home World, where I will   participate in the installation   ceremony of Gowron, the next   designated Leader of the High   Council.",1	EXT. SPACE - THE ENTERPRISE (OPTICAL),SPACE - THE ENTERPRISE,EXT.,Redemption,1991-04-08,The Next Generation,200.txt
1,PICARD ,       This visit should also provide   an opportunity for one of my   officers to correct... a grave   injustice..,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
2,WORF,   Enter.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
3,PICARD,   Am I intruding?,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
4,WORF,"   No, sir. My apologies, Captain...   I can be back in uniform---",2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
5,PICARD,   That won't be necessary.       I'm not here as your captain.   I'm here as the person that stood   with you before the High   Council... your cha'DIch.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
6,PICARD,       We'll arrive at your Home World   in less than a day.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
7,WORF,   It is not yet time.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
8,PICARD,   That doesn't sound like the man   who came to me a year ago...   fiercely determined to return home   and clear his father's name...   or die trying.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
9,PICARD,   You accepted this... dishonor from   the Council in order to hold the   Empire together.       The Empire survives. Isn't it   time to confront the Council...   to regain your family name and   let the truth be known?,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
10,WORF,   I have been told... that patience   is sometimes a more effective   weapon than a sword.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
11,PICARD,"   Patience is a... human virtue,   one which I am proud to see you've   taken to heart. But this   situation may require a more...   Klingon response.",2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
12,PICARD,       Your discommendation is a facade   intended to protect men less   honorable than you. It is a   lie... and lies must be   challenged.,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
13,WORF,   I have grown... weary of bearing   this dishonor...,2	INT. WORF'S QUARTERS,WORF'S QUARTERS,INT.,Redemption,1991-04-08,The Next Generation,200.txt
